sku,rfm
t1091,1
eo-2404,3
sfc-5705,1
icd1211,2
tch002,1
tch001,0
df-001,3
c-6521,2
c-16400,3
54650-b4000,3
ni-721,2
to-029,2
t026,1
tt-121,2
a-38320-s,3
srch001,1
726680404l,3
eo-1101,2
a-33410,3
c001,3
df01,1
56210-9m900,1
c-27902,3
7246302r,3
mi002,3
tkl22012d,2
tkl24030,1
333838,1
a-28790,2
5531007100,3
hy-011,3
rto001,1
dt5.50r12lt,2
14606,1
cf-1150,3
b32t34900c,3
a-14420,2
thy010,0
a-1129,2
d004,3
c-281275,1
tto005,1
w16exr-u,1
96407819,2
schd-644,2
v002,3
c-23800,1
hy032,3
sdki-299,3
p85140500,3
48031,1
j001,1
rto020,1
dt195r14c,2
18036,3
ho-5025,3
50006636,1
ehy001,1
as-608-2rsc3,0
dt12.5/80-18,1
96407821,2
ca-18120,3
skf-608-2rsh/c3,0
ef-1509,3
54650-b2100,2
ctx-060,2
a-71340,1
ety009,2
331702,2
17632,3
rhy004,1
ek002,1
bdw001,1
fc133300,0
sfc-5706,2
icd1950,3
t1106,3
rto015,2
06060,0
41602-64j00,3
ca-14050,2
vw-005,2
n002,3
11979,0
48510-09k60ref,3
eo-1501,3
c-2810,1
a-28590,3
bto020,2
17649,3
di1540ci100,3
54660-2w100,3
a-8513,3
k009,3
fc-2204,3
dm12.00r24,2
17635,3
hy045,3
s-polos,2
rto004,1
hy035,2
icd1543,3
48220,0
n018,3
110517,1
icd1935,2
54302-5ha3a,3
41700-65j00,3
a-28950,2
ctx-166,3
333425,1
c-1204,1
hy027,3
082966304,2
t1107,3
mwmwd976,3
icd2326,1
d003,3
icd2343,2
hy-630,1
sk-130,2
sk18,0
c-1147,3
90904862,3
thy012,1
bfu-707,1
ds001,3
wk-962/13,3
56210-0m011,3
c-2906,3
c-1534,3
sk017,1
341139,2
a-5549-s,3
a-31140,3
rhy001,2
a-61530,3
d005,1
thy015,0
a-29390,2
a-71420-s,3
azul,3
c-6210,2
rov1040sn5500,1
41601m79g80,3
as-1024-s,3
hy-009,3
wk-940/24,3
ef-13090,2
96586885,3
dt11r22.5,1
h851405500,2
sfc-24020,2
96586886,3
54650-2k000,2
bni001,3
561103j200,2
54650-1y200,3
17136,0
dt255/55r18,2
as-6116-s,2
dt155r12c,2
b10300100,3
o-1325,2
c-30400/1,2
eni001,1
to-014f2,3
mb-025381,3
4060a065,1
af9033m1,1
ehy007,1
p2050sl500,1
sfc-79110,2
ca-65310,2
t036,3
eo-3009,2
bto014,2
98129960,1
ehy004,1
a-65540,2
17141,3
af9050m,3
as736lf,0
rto002,2
a-8672-s,3
thy017,1
tsz002,1
ef-1002,3
sk023,0
dpp12r22.5,1
a-13570,3
ch004,2
pe25500254t,1
ch007,2
55360-25050,1
a-1158,3
a-8681,2
t1105,2
t1002,2
48025,1
vv975,3
